official_scenic_id,scenic_name,review_n,issue_review_n,issue_review_share,staff_service_n,staff_service_share,service_process_n,service_process_share,guide_explanation_n,guide_explanation_share,queue_wait_n,queue_wait_share,reservation_entry_n,reservation_entry_share,ticket_price_n,ticket_price_share,traffic_access_n,traffic_access_share,facility_hygiene_n,facility_hygiene_share,crowding_n,crowding_share,commercialization_n,commercialization_share,platform_transaction_n,platform_transaction_share
BJ20_02,颐和园,29,4,0.137931,0,0.0,1,0.034483,2,0.068966,0,0.0,0,0.0,0,0.0,1,0.034483,0,0.0,1,0.034483,0,0.0,0,0.0
BJ20_03,天坛公园,59,17,0.288136,0,0.0,0,0.0,1,0.016949,1,0.016949,2,0.033898,5,0.084746,1,0.016949,1,0.016949,7,0.118644,0,0.0,3,0.050847
BJ20_04,景山公园,64,7,0.109375,0,0.0,0,0.0,3,0.046875,0,0.0,1,0.015625,2,0.03125,0,0.0,0,0.0,3,0.046875,0,0.0,0,0.0
BJ20_05,恭王府,72,9,0.125,0,0.0,0,0.0,1,0.013889,0,0.0,1,0.013889,0,0.0,0,0.0,3,0.041667,5,0.069444,1,0.013889,0,0.0
BJ20_06,明十三陵,55,12,0.218182,0,0.0,0,0.0,3,0.054545,0,0.0,0,0.0,5,0.090909,5,0.090909,0,0.0,0,0.0,1,0.018182,0,0.0
BJ20_07,八达岭长城,47,10,0.212766,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.021277,2,0.042553,0,0.0,5,0.106383,1,0.021277,1,0.021277
BJ20_08,慕田峪长城,53,10,0.188679,0,0.0,1,0.018868,1,0.018868,5,0.09434,1,0.018868,1,0.018868,3,0.056604,0,0.0,1,0.018868,0,0.0,0,0.0
BJ20_09,居庸关长城,40,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,1,0.025,0,0.0,0,0.0,0,0.0
BJ20_10,司马台长城,64,7,0.109375,0,0.0,0,0.0,0,0.0,3,0.046875,1,0.015625,3,0.046875,1,0.015625,0,0.0,2,0.03125,0,0.0,0,0.0
BJ20_11,潭柘寺,63,8,0.126984,0,0.0,0,0.0,1,0.015873,0,0.0,0,0.0,3,0.047619,3,0.047619,1,0.015873,1,0.015873,3,0.047619,0,0.0
BJ20_12,红螺寺,71,8,0.112676,0,0.0,1,0.014085,0,0.0,2,0.028169,0,0.0,0,0.0,1,0.014085,0,0.0,1,0.014085,1,0.014085,2,0.028169
BJ20_13,首都博物馆,59,4,0.067797,1,0.016949,1,0.016949,1,0.016949,0,0.0,1,0.016949,1,0.016949,0,0.0,0,0.0,0,0.0,0,0.0,1,0.016949
BJ20_14,北京天文馆,59,12,0.20339,1,0.016949,3,0.050847,7,0.118644,0,0.0,0,0.0,6,0.101695,1,0.016949,0,0.0,1,0.016949,0,0.0,0,0.0
BJ20_15,中国科学技术馆,69,11,0.15942,0,0.0,1,0.014493,7,0.101449,1,0.014493,1,0.014493,2,0.028986,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014493
BJ20_16,香山公园,77,6,0.077922,0,0.0,0,0.0,0,0.0,1,0.012987,0,0.0,1,0.012987,1,0.012987,0,0.0,2,0.025974,1,0.012987,1,0.012987
BJ20_17,北京动物园,47,12,0.255319,0,0.0,0,0.0,1,0.021277,5,0.106383,0,0.0,3,0.06383,0,0.0,2,0.042553,4,0.085106,0,0.0,0,0.0
BJ20_18,玉渊潭公园,75,4,0.053333,0,0.0,1,0.013333,0,0.0,1,0.013333,0,0.0,1,0.013333,1,0.013333,0,0.0,3,0.04,0,0.0,1,0.013333
BJ20_19,国家游泳中心,67,10,0.149254,1,0.014925,1,0.014925,0,0.0,0,0.0,2,0.029851,3,0.044776,1,0.014925,1,0.014925,0,0.0,2,0.029851,1,0.014925
BJ20_20,奥林匹克塔,54,13,0.240741,2,0.037037,1,0.018519,0,0.0,3,0.055556,0,0.0,7,0.12963,0,0.0,3,0.055556,1,0.018519,1,0.018519,1,0.018519
