scenic_name,lda_topic_id,lda_topic_name_cn,topic_review_n,scenic_review_n,topic_share_within_scenic
中国科学技术馆,4,现场服务与导览体验,193,272,0.7095588235294118
中国科学技术馆,1,整体满意与感知评价,29,272,0.10661764705882353
中国科学技术馆,0,票务预约与入园体验,23,272,0.08455882352941177
中国科学技术馆,3,票务预约与入园体验,17,272,0.0625
中国科学技术馆,2,交通与开放空间体验,10,272,0.03676470588235294
八达岭长城,1,整体满意与感知评价,124,279,0.4444444444444444
八达岭长城,0,票务预约与入园体验,53,279,0.18996415770609318
八达岭长城,4,现场服务与导览体验,53,279,0.18996415770609318
八达岭长城,3,票务预约与入园体验,35,279,0.12544802867383512
八达岭长城,2,交通与开放空间体验,14,279,0.05017921146953405
北京动物园,3,票务预约与入园体验,178,263,0.6768060836501901
北京动物园,1,整体满意与感知评价,41,263,0.155893536121673
北京动物园,0,票务预约与入园体验,23,263,0.08745247148288973
北京动物园,4,现场服务与导览体验,12,263,0.045627376425855515
北京动物园,2,交通与开放空间体验,9,263,0.034220532319391636
北京天文馆,4,现场服务与导览体验,182,265,0.6867924528301886
北京天文馆,0,票务预约与入园体验,28,265,0.10566037735849057
北京天文馆,1,整体满意与感知评价,27,265,0.1018867924528302
北京天文馆,3,票务预约与入园体验,16,265,0.06037735849056604
北京天文馆,2,交通与开放空间体验,12,265,0.045283018867924525
司马台长城,1,整体满意与感知评价,162,285,0.5684210526315789
司马台长城,0,票务预约与入园体验,70,285,0.24561403508771928
司马台长城,3,票务预约与入园体验,24,285,0.08421052631578947
司马台长城,2,交通与开放空间体验,21,285,0.07368421052631578
司马台长城,4,现场服务与导览体验,8,285,0.028070175438596492
国家游泳中心,2,交通与开放空间体验,108,273,0.3956043956043956
国家游泳中心,1,整体满意与感知评价,102,273,0.37362637362637363
国家游泳中心,3,票务预约与入园体验,39,273,0.14285714285714285
国家游泳中心,0,票务预约与入园体验,17,273,0.06227106227106227
国家游泳中心,4,现场服务与导览体验,7,273,0.02564102564102564
天坛公园,0,票务预约与入园体验,91,274,0.33211678832116787
天坛公园,1,整体满意与感知评价,75,274,0.2737226277372263
天坛公园,4,现场服务与导览体验,40,274,0.145985401459854
天坛公园,2,交通与开放空间体验,39,274,0.14233576642335766
天坛公园,3,票务预约与入园体验,29,274,0.10583941605839416
奥林匹克塔,1,整体满意与感知评价,134,272,0.49264705882352944
奥林匹克塔,2,交通与开放空间体验,90,272,0.33088235294117646
奥林匹克塔,3,票务预约与入园体验,29,272,0.10661764705882353
奥林匹克塔,4,现场服务与导览体验,10,272,0.03676470588235294
奥林匹克塔,0,票务预约与入园体验,9,272,0.03308823529411765
居庸关长城,1,整体满意与感知评价,187,276,0.677536231884058
居庸关长城,3,票务预约与入园体验,42,276,0.15217391304347827
居庸关长城,0,票务预约与入园体验,18,276,0.06521739130434782
居庸关长城,2,交通与开放空间体验,15,276,0.05434782608695652
居庸关长城,4,现场服务与导览体验,14,276,0.050724637681159424
恭王府,4,现场服务与导览体验,123,268,0.458955223880597
恭王府,1,整体满意与感知评价,56,268,0.208955223880597
恭王府,3,票务预约与入园体验,41,268,0.15298507462686567
