slot_rank,category_name,requested_name,selected_name,selected_from,scenic_name,comment_id,review_id,review_time,rating,rating_bucket,review_text,token_count,tokens_text,lda_topic_id,lda_topic_name_cn,lda_topic_prob,is_satisfaction_topic,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642487028,642487028,2026-02-17,3.0,3,讲的还可以，就是服务太差了，留的助理电话一点用没有，态度还贼差劲,7,服务 太差 助理 电话 一点 态度 差劲,4,现场服务与导览体验,0.5396778429075344,0,0.3599462751495202,0.033560681389183965,0.0333338816847566,0.03348131886900483,0.5396778429075344
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642348638,642348638,2026-02-17,4.0,4,"历史漫真是太棒了,我们买了三角洲的票。令人不快的是,我们没有立即了解英语的入口和语音导游在哪里,但是通过护照检查后,在萨姆市的福音可以以40元的价格购买语音导游,像是你所在的建筑物上闪亮点的播放器,可没有找到冰淋,耳机也在出口,如果你通过耳机的传送,开始像商店一样大声。",31,真是 太棒了 三角洲 令人 不快 立即 了解 英语 入口 语音 导游 哪里 通过 护照 检查 价格 购买 语音 导游 像是 所在 建筑物 闪亮 找到 耳机 出口 通过 耳机 商店 一样 大声,0,票务预约与入园体验,0.6367751550795794,0,0.6367751550795794,0.007750116069144106,0.062469259884465216,0.007772234491123072,0.28523323447568816
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642568221,642568221,2026-02-17,5.0,5,这次的秀才说温静导游全程用精湛的解说为我们讲解了故宫的故事，声情并茂，大人孩子都沉浸其中。[强][强][强],13,这次 秀才 温静 导游 全程 精湛 解说 讲解 故事 声情并茂 大人 沉浸 其中,4,现场服务与导览体验,0.9375291168408214,0,0.015484400530673329,0.015403752755017687,0.016130278165803383,0.015452451707684216,0.9375291168408214
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642527943,642527943,2026-02-17,5.0,5,为秀才说导游张树强点赞，他全程讲解热情，服务周到，让我们对故宫有了深入了解，值得推荐。,9,秀才 导游 全程 讲解 热情 服务周到 深入 了解 推荐,4,现场服务与导览体验,0.9199148076006126,0,0.020006804683622387,0.020071155195832833,0.020000051963184072,0.02000718055674811,0.9199148076006126
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642453379,642453379,2026-02-17,5.0,5,"导游非常完美,非常有趣和快速,并向我们展示了所有必不可少的东西!",8,导游 完美 有趣 快速 展示 所有 必不可少 东西,0,票务预约与入园体验,0.6172388158402505,0,0.6172388158402505,0.025876780458026924,0.026174376771476836,0.02505766481633995,0.30565236211390573
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642412807,642412807,2026-02-17,5.0,5,秀才说王导很棒👍👍导游态度和蔼可亲，整体普通话标准介绍到位可以选择,12,秀才 王导 很棒 导游 态度 和蔼可亲 整体 普通话 标准 介绍 到位 选择,4,现场服务与导览体验,0.9330069951291097,0,0.016740768059248956,0.016845145938605078,0.016691597023744408,0.016715493849291874,0.9330069951291097
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642316039,642316039,2026-02-17,5.0,5,超预期的故宫研学！秀才说研学营的苏酥老师带着孩子们沉浸式学习体验，让课本知识活了起来，孩子听得津津有味，不仅增长见识，更激发了对历史文化的浓厚兴趣。,17,预期 研学 秀才 研学营 老师 沉浸 学习 体验 课本 知识 起来 听得 津津有味 不仅 增长 见识 激发,4,现场服务与导览体验,0.8855679278860876,0,0.07682190157634841,0.012557612096953387,0.012531143135601854,0.0125214153050088,0.8855679278860876
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642304867,642304867,2026-02-17,5.0,5,才说王导游普通话流利标准从故事加建筑规格颜色去介绍了解故宫收获颇多体验感好。,12,导游 普通话 流利 标准 故事 规格 颜色 介绍 了解 收获 体验 感好,4,现场服务与导览体验,0.8323920918931266,0,0.018198216284820122,0.018250637929203926,0.11297692123248629,0.018182132660363216,0.8323920918931266
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,642824540,642824540,2026-02-18,1.0,1,导游带着根本没进故宫里面参观，就是在外围介绍讨论了一下，感觉上当受骗了！,6,导游 根本 参观 外围 介绍 上当受骗,4,现场服务与导览体验,0.577900232397505,0,0.30106226174898426,0.04028158493273945,0.04025461804404599,0.04050130287672542,0.577900232397505
1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院,643065186,643065186,2026-02-18,5.0,5,非常专业的讲解，以后再来必须预定。,5,专业 讲解 以后 必须 预定,4,现场服务与导览体验,0.5757442330076801,0,0.32365054325796516,0.033517202581088874,0.033404755155883446,0.033683265997382465,0.5757442330076801
