official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,transport,87,290.92
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,parking,13,132.98
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,food_retail,106,232.69
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,lodging,8,342.87
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,commercial,6,531.59
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,public_service,42,207.47
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1000,nearby_attractions,4,235.49
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,transport,267,290.92
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,parking,83,132.98
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,food_retail,253,232.69
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,lodging,36,342.87
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,commercial,7,531.59
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,public_service,116,207.47
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,2000,nearby_attractions,18,235.49
