official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,transport,142,393.66
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,parking,20,412.74
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,food_retail,41,21.31
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,lodging,7,246.71
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,commercial,5,820.51
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,public_service,25,8.45
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1000,nearby_attractions,8,81.77
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,transport,487,393.66
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,parking,44,412.74
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,food_retail,126,21.31
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,lodging,26,246.71
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,commercial,11,820.51
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,public_service,88,8.45
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,2000,nearby_attractions,19,81.77
