official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json,poi_zone
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_11233300438,node,11233300438,,nearby_attractions,nearby_attractions,39.9360594,116.330344,62.92,"{""name:en"": ""Beijing Planetarium"", ""name:ru"": ""Пекинский Планетарий"", ""tourism"": ""museum""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,way_478432541,way,478432541,,parking,parking,39.9361321,116.3315708,77.16,"{""amenity"": ""parking""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1364282700,node,1364282700,,subway,transport,39.9364954,116.3315745,108.22,"{""railway"": ""subway_entrance"", ""wheelchair"": ""yes""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820956,node,9721820956,动物园,bus,transport,39.9365328,116.3298994,127.12,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1548965448,node,1548965448,动物园,transport,transport,39.9366016,116.3298914,133.38,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820957,node,9721820957,动物园,bus,transport,39.9365328,116.3296929,139.42,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1548965445,node,1548965445,动物园,transport,transport,39.9366005,116.3296897,144.85,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189255,node,9667189255,动物园枢纽站,bus,transport,39.9360331,116.3326004,151.29,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820958,node,9721820958,动物园,bus,transport,39.9365431,116.3294998,152.58,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1548965444,node,1548965444,动物园,transport,transport,39.9366004,116.3295179,155.52,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1548988325,node,1548988325,动物园枢纽站,transport,transport,39.9360297,116.3326589,156.02,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1803850945,node,1803850945,动物园,transport,transport,39.9370588,116.330544,156.43,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189260,node,9667189260,动物园枢纽站,bus,transport,39.9362942,116.3325977,161.14,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820960,node,9721820960,动物园,bus,transport,39.9371004,116.3305324,161.16,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820959,node,9721820959,动物园,bus,transport,39.936539,116.329312,165.05,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189256,node,9667189256,动物园枢纽站,bus,transport,39.9360495,116.332764,165.24,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1650005861,node,1650005861,动物园枢纽站,transport,transport,39.936296,116.3326547,165.63,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667158678,node,9667158678,动物园枢纽站,bus,transport,39.9365863,116.3324475,167.06,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1253535253,node,1253535253,动物园,transport,transport,39.9365989,116.3293247,168.14,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1803850942,node,1803850942,动物园,transport,transport,39.9370256,116.3299686,169.21,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667158677,node,9667158677,动物园枢纽站,transport,transport,39.936611,116.3324743,170.54,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1548988333,node,1548988333,动物园枢纽站,transport,transport,39.9360498,116.3328421,171.71,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189259,node,9667189259,动物园枢纽站,bus,transport,39.9363025,116.3327587,174.02,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820964,node,9721820964,动物园,bus,transport,39.9370799,116.3299598,174.92,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1803850927,node,1803850927,动物园,transport,transport,39.937023,116.3298039,175.91,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1650005871,node,1650005871,动物园枢纽站,transport,transport,39.9363019,116.3328344,179.93,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189257,node,9667189257,动物园枢纽站,bus,transport,39.936068,116.3329357,179.94,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820963,node,9721820963,动物园,bus,transport,39.9370685,116.3297962,180.57,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1803850919,node,1803850919,动物园,transport,transport,39.937017,116.3296439,182.9,"{""bus"": ""yes"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1673315426,node,1673315426,动物园枢纽站,transport,transport,39.9360668,116.3329978,185.05,"{""bus"": ""yes"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9721820962,node,9721820962,动物园,bus,transport,39.9370685,116.3296406,187.75,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园"", ""name:zh"": ""动物园"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9667189258,node,9667189258,动物园枢纽站,bus,transport,39.9363086,116.3329303,187.78,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""动物园枢纽站"", ""name:zh"": ""动物园枢纽站"", ""public_transport"": ""platform""}",external
