official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,transport,160,108.22
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,parking,15,77.16
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,food_retail,31,387.71
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,lodging,9,289.87
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,commercial,5,540.08
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,public_service,29,302.85
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1000,nearby_attractions,8,62.92
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,transport,549,108.22
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,parking,44,77.16
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,food_retail,130,387.71
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,lodging,27,289.87
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,commercial,11,540.08
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,public_service,89,302.85
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,2000,nearby_attractions,19,62.92
