official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_10,司马台长城,长城关隘类,node_380380372,node,380380372,,lodging,lodging,40.6541368,117.271816,1176.83,"{""tourism"": ""hostel""}"
BJ20_10,司马台长城,长城关隘类,node_1777056621,node,1777056621,,transport,transport,40.6520656,117.2746568,1105.83,"{""aerialway"": ""station"", ""public_transport"": ""station""}"
BJ20_10,司马台长城,长城关隘类,node_4250076093,node,4250076093,,lodging,lodging,40.6620895,117.27827,636.36,"{""name:en"": ""DongPo Restaurant and Guesthouse"", ""tourism"": ""guest_house"", ""website"": ""https://www.simataiguesthouse.com""}"
BJ20_10,司马台长城,长城关隘类,node_4346517395,node,4346517395,,lodging,lodging,40.6621602,117.2779907,660.1,"{""name:en"": ""Dongpo Inn"", ""tourism"": ""hotel""}"
BJ20_10,司马台长城,长城关隘类,node_5126333620,node,5126333620,,lodging,lodging,40.6523877,117.2686934,1499.82,"{""name:en"": ""Beijing WTown"", ""tourism"": ""hotel""}"
BJ20_10,司马台长城,长城关隘类,node_6410342686,node,6410342686,,lodging,lodging,40.6660396,117.2752418,1119.91,"{""name:en"": ""Guesthouse Jinshanling"", ""tourism"": ""guest_house""}"
BJ20_10,司马台长城,长城关隘类,node_11740058669,node,11740058669,,lodging,lodging,40.6507506,117.2690772,1566.82,"{""name:en"": ""Junyue Inn"", ""tourism"": ""hotel""}"
BJ20_10,司马台长城,长城关隘类,node_11740439370,node,11740439370,,public_service,public_service,40.6521385,117.2722152,1261.45,"{""amenity"": ""toilets"", ""opening_hours"": ""24/7""}"
BJ20_10,司马台长城,长城关隘类,node_11740929270,node,11740929270,,commercial,commercial,40.6530043,117.2729244,1157.62,"{""shop"": ""gift""}"
BJ20_10,司马台长城,长城关隘类,node_11740932170,node,11740932170,,public_service,public_service,40.652769,117.2732086,1152.53,"{""amenity"": ""toilets""}"
BJ20_10,司马台长城,长城关隘类,node_11741188869,node,11741188869,,public_service,public_service,40.6500212,117.2671294,1748.37,"{""amenity"": ""toilets""}"
BJ20_10,司马台长城,长城关隘类,node_11741271869,node,11741271869,,food_retail,food_retail,40.6500032,117.2665864,1787.77,"{""amenity"": ""restaurant"", ""cuisine"": ""italian;pizza""}"
BJ20_10,司马台长城,长城关隘类,node_11741271870,node,11741271870,,food_retail,food_retail,40.6500244,117.2668813,1765.63,"{""amenity"": ""restaurant"", ""cuisine"": ""steak_house"", ""name:en"": ""Watch Tower Steak House""}"
BJ20_10,司马台长城,长城关隘类,node_12334670404,node,12334670404,,food_retail,food_retail,40.6510349,117.2683894,1597.8,"{""amenity"": ""restaurant"", ""cuisine"": ""chinese""}"
BJ20_10,司马台长城,长城关隘类,node_12334685121,node,12334685121,,public_service,public_service,40.6509082,117.2686368,1587.9,"{""amenity"": ""toilets""}"
BJ20_10,司马台长城,长城关隘类,node_12337173048,node,12337173048,,public_service,public_service,40.6569824,117.2873743,318.86,"{""amenity"": ""toilets""}"
BJ20_10,司马台长城,长城关隘类,node_12337431614,node,12337431614,威廉·埃德加精品酒店西餐厅,food_retail,food_retail,40.6484299,117.2669519,1864.09,"{""amenity"": ""restaurant"", ""cuisine"": ""german"", ""name"": ""威廉·埃德加精品酒店西餐厅""}"
