official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_03,天坛公园,皇家文化类,node_77746350,node,77746350,榄杆市,transport,transport,39.8919471,116.4163309,1763.87,"{""bus"": ""yes"", ""name"": ""榄杆市"", ""name:zh"": ""榄杆市"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_245106232,node,245106232,红桥路口西,transport,transport,39.8869632,116.4094543,964.96,"{""bus"": ""yes"", ""name"": ""红桥路口西"", ""name:zh"": ""红桥路口西"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_318265958,node,318265958,前门,transport,transport,39.8966333,116.3944354,1994.33,"{""bus"": ""yes"", ""name"": ""前门"", ""name:zh"": ""前门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_322121130,node,322121130,榄杆市,transport,transport,39.8918312,116.4163753,1756.59,"{""bus"": ""yes"", ""name"": ""榄杆市"", ""name:zh"": ""榄杆市"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_322447230,node,322447230,玉蜓桥西,transport,transport,39.869874,116.4141072,1471.0,"{""bus"": ""yes"", ""name"": ""玉蜓桥西"", ""name:zh"": ""玉蜓桥西"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_340260038,node,340260038,磁器口,transport,transport,39.8917004,116.4127135,1557.22,"{""name"": ""磁器口"", ""name:en"": ""Ciqikou"", ""name:zh"": ""磁器口"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_340260096,node,340260096,天坛东门,transport,transport,39.8822596,116.4146462,1038.21,"{""name"": ""天坛东门"", ""name:en"": ""East Gate of Temple of Heaven"", ""name:zh"": ""天坛东门"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_734418729,node,734418729,天桥,transport,transport,39.8834174,116.3921524,994.47,"{""bus"": ""yes"", ""name"": ""天桥"", ""name:zh"": ""天桥"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_734521002,node,734521002,天坛北门,transport,transport,39.8868307,116.4052229,795.62,"{""bus"": ""yes"", ""name"": ""天坛北门"", ""name:zh"": ""天坛北门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1359089982,node,1359089982,,subway,transport,39.8828851,116.4141573,1018.34,"{""railway"": ""subway_entrance"", ""ref"": ""A2""}"
BJ20_03,天坛公园,皇家文化类,node_1359090002,node,1359090002,D出口,subway,transport,39.8912512,116.4118114,1474.14,"{""name"": ""D出口"", ""railway"": ""subway_entrance"", ""ref"": ""D""}"
BJ20_03,天坛公园,皇家文化类,node_1359090003,node,1359090003,A出口,subway,transport,39.8920481,116.4118221,1551.09,"{""name"": ""A出口"", ""railway"": ""subway_entrance""}"
BJ20_03,天坛公园,皇家文化类,node_1359090015,node,1359090015,天坛东门,transport,transport,39.8822564,116.4144792,1024.34,"{""name"": ""天坛东门"", ""name:en"": ""East Gate of Temple of Heaven"", ""name:zh"": ""天坛东门"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_1359090017,node,1359090017,磁器口,transport,transport,39.8916994,116.4125418,1549.27,"{""name"": ""磁器口"", ""name:en"": ""Ciqikou"", ""name:zh"": ""磁器口"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_1408143354,node,1408143354,珠市口,transport,transport,39.8904256,116.3920192,1491.81,"{""name"": ""珠市口"", ""name:zh"": ""珠市口"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_1408143355,node,1408143355,珠市口,transport,transport,39.8904238,116.3921807,1483.13,"{""name"": ""珠市口"", ""name:zh"": ""珠市口"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_1408143389,node,1408143389,珠市口,transport,transport,39.8904243,116.3920603,1489.52,"{""name"": ""珠市口"", ""name:zh"": ""珠市口"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_1408143390,node,1408143390,珠市口,transport,transport,39.8904219,116.392145,1484.84,"{""name"": ""珠市口"", ""name:zh"": ""珠市口"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
BJ20_03,天坛公园,皇家文化类,node_1583217741,node,1583217741,永定门内,bus,transport,39.8719351,116.3921049,1276.66,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""永定门内"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1583217902,node,1583217902,天坛西门,transport,transport,39.8783951,116.3918941,951.68,"{""bus"": ""yes"", ""name"": ""天坛西门"", ""name:zh"": ""天坛西门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1598502540,node,1598502540,磁器口西,transport,transport,39.8915385,116.4100578,1431.37,"{""bus"": ""yes"", ""name"": ""磁器口西"", ""name:zh"": ""磁器口西"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1598502563,node,1598502563,磁器口西,transport,transport,39.8916787,116.4099449,1441.41,"{""bus"": ""yes"", ""name"": ""磁器口西"", ""name:zh"": ""磁器口西"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1841644236,node,1841644236,东侧路,transport,transport,39.8742454,116.4149223,1205.71,"{""bus"": ""yes"", ""name"": ""东侧路"", ""name:zh"": ""东侧路"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1849395693,node,1849395693,,food_retail,food_retail,39.8722724,116.4033486,849.87,"{""amenity"": ""restaurant""}"
BJ20_03,天坛公园,皇家文化类,node_1852925515,node,1852925515,天坛饭店,lodging,lodging,39.8831909,116.4245644,1886.68,"{""designation"": ""Grand Soluxe Tian Tan Hotel"", ""name"": ""天坛饭店"", ""name:en"": ""Tiantan Hotel"", ""tourism"": ""hotel""}"
BJ20_03,天坛公园,皇家文化类,node_1859765964,node,1859765964,天坛南门东,transport,transport,39.8717976,116.4097755,1077.1,"{""bus"": ""yes"", ""name"": ""天坛南门东"", ""name:zh"": ""天坛南门东"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_1859765965,node,1859765965,天坛南门东,transport,transport,39.8718035,116.4099916,1086.75,"{""bus"": ""yes"", ""name"": ""天坛南门东"", ""name:zh"": ""天坛南门东"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2056613814,node,2056613814,北京市普仁医院,public_service,public_service,39.8933066,116.4131778,1730.13,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""name"": ""北京市普仁医院""}"
BJ20_03,天坛公园,皇家文化类,node_2056613815,node,2056613815,东四块玉,transport,transport,39.8795585,116.4179342,1285.88,"{""bus"": ""yes"", ""name"": ""东四块玉"", ""name:zh"": ""东四块玉"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2056613816,node,2056613816,东四块玉,transport,transport,39.8796349,116.4181436,1303.51,"{""bus"": ""yes"", ""name"": ""东四块玉"", ""name:zh"": ""东四块玉"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2339326632,node,2339326632,东侧路,bus,transport,39.874064,116.4151535,1233.09,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""东侧路"", ""name:zh"": ""东侧路"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_2383146327,node,2383146327,天桥路口东,bus,transport,39.8858268,116.3954369,914.2,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""天桥路口东"", ""name:zh"": ""天桥路口东"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_2383146358,node,2383146358,兴隆街,transport,transport,39.8934898,116.4058497,1531.6,"{""bus"": ""yes"", ""name"": ""兴隆街"", ""name:zh"": ""兴隆街"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146359,node,2383146359,兴隆街,transport,transport,39.8940415,116.4060297,1594.65,"{""bus"": ""yes"", ""name"": ""兴隆街"", ""name:zh"": ""兴隆街"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146360,node,2383146360,天坛北门,transport,transport,39.8868799,116.4046725,790.46,"{""bus"": ""yes"", ""name"": ""天坛北门"", ""name:zh"": ""天坛北门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146362,node,2383146362,天桥路口东,transport,transport,39.8857837,116.3954683,908.9,"{""bus"": ""yes"", ""name"": ""天桥路口东"", ""name:zh"": ""天桥路口东"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146364,node,2383146364,打磨厂,transport,transport,39.8966972,116.4056794,1882.32,"{""bus"": ""yes"", ""name"": ""打磨厂"", ""name:zh"": ""打磨厂"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146365,node,2383146365,打磨厂,transport,transport,39.8969868,116.4058613,1916.27,"{""bus"": ""yes"", ""name"": ""打磨厂"", ""name:zh"": ""打磨厂"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146366,node,2383146366,东晓市,transport,transport,39.8896255,116.4060594,1114.38,"{""bus"": ""yes"", ""name"": ""东晓市"", ""name:zh"": ""东晓市"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146367,node,2383146367,东晓市,transport,transport,39.8898357,116.4062701,1141.5,"{""bus"": ""yes"", ""name"": ""东晓市"", ""name:zh"": ""东晓市"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146368,node,2383146368,金鱼池,transport,transport,39.8867492,116.4000049,799.2,"{""bus"": ""yes"", ""name"": ""金鱼池"", ""name:zh"": ""金鱼池"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383146369,node,2383146369,金鱼池,transport,transport,39.8866873,116.4001302,789.42,"{""bus"": ""yes"", ""name"": ""金鱼池"", ""name:zh"": ""金鱼池"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383173553,node,2383173553,天坛西门,transport,transport,39.8785451,116.3920274,937.65,"{""bus"": ""yes"", ""name"": ""天坛西门"", ""name:zh"": ""天坛西门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383173554,node,2383173554,天坛西门,transport,transport,39.8807373,116.3928604,859.23,"{""bus"": ""yes"", ""name"": ""天坛西门"", ""name:zh"": ""天坛西门"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383173561,node,2383173561,天桥,transport,transport,39.88285,116.3927339,924.87,"{""bus"": ""yes"", ""name"": ""天桥"", ""name:zh"": ""天桥"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383182292,node,2383182292,友谊医院东,bus,transport,39.8848461,116.3886843,1329.33,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""友谊医院东"", ""name:zh"": ""友谊医院东"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_2383182293,node,2383182293,友谊医院东,bus,transport,39.885007,116.3883719,1361.0,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""友谊医院东"", ""name:zh"": ""友谊医院东"", ""public_transport"": ""platform""}"
BJ20_03,天坛公园,皇家文化类,node_2383182302,node,2383182302,友谊医院东,transport,transport,39.8850191,116.3886456,1340.38,"{""bus"": ""yes"", ""name"": ""友谊医院东"", ""name:zh"": ""友谊医院东"", ""public_transport"": ""stop_position""}"
BJ20_03,天坛公园,皇家文化类,node_2383182303,node,2383182303,友谊医院东,transport,transport,39.8850128,116.3883242,1364.97,"{""bus"": ""yes"", ""name"": ""友谊医院东"", ""name:zh"": ""友谊医院东"", ""public_transport"": ""stop_position""}"
