official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,transport,74,302.39
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,parking,13,222.62
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,food_retail,64,291.45
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,lodging,9,110.75
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,commercial,4,620.14
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,public_service,41,364.64
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,1000,nearby_attractions,3,364.31
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,transport,231,302.39
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,parking,82,222.62
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,food_retail,232,291.45
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,lodging,33,110.75
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,commercial,7,620.14
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,public_service,112,364.64
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,2000,nearby_attractions,16,364.31
