official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_08,慕田峪长城,长城关隘类,node_848013305,node,848013305,,transport,transport|public_service,40.4338799,116.5586719,409.41,"{""aerialway"": ""station"", ""amenity"": ""toilets"", ""fee"": ""no"", ""public_transport"": ""station""}"
BJ20_08,慕田峪长城,长城关隘类,node_939115004,node,939115004,,public_service,public_service,40.4339019,116.563566,58.86,"{""amenity"": ""toilets"", ""fee"": ""no""}"
BJ20_08,慕田峪长城,长城关隘类,node_1704492184,node,1704492184,慕田峪办事处,transport,transport,40.4234128,116.5489418,1734.52,"{""bus"": ""yes"", ""name"": ""慕田峪办事处"", ""public_transport"": ""stop_position""}"
BJ20_08,慕田峪长城,长城关隘类,node_1704492205,node,1704492205,,public_service,public_service,40.4283457,116.5561408,916.65,"{""access"": ""no"", ""amenity"": ""toilets""}"
BJ20_08,慕田峪长城,长城关隘类,node_1704492301,node,1704492301,,public_service,public_service,40.4310651,116.5576402,617.94,"{""access"": ""yes"", ""amenity"": ""toilets"", ""check_date"": ""2025-07-10"", ""drinking_water"": ""no"", ""fee"": ""no"", ""female"": ""yes"", ""male"": ""yes"", ""toilets:position"": ""seated;squat;urinal""}"
BJ20_08,慕田峪长城,长城关隘类,node_1704492474,node,1704492474,慕田峪村净园卫生间,public_service,public_service,40.4256787,116.5540468,1256.99,"{""amenity"": ""toilets"", ""name"": ""慕田峪村净园卫生间"", ""name:zh"": ""慕田峪村净园卫生间"", ""name:zh-Hans"": ""慕田峪村净园卫生间"", ""name:zh-Hant"": ""慕田峪村淨園衛生間""}"
BJ20_08,慕田峪长城,长城关隘类,node_1955863659,node,1955863659,北沟村,transport,transport,40.430172,116.5440657,1707.93,"{""bus"": ""yes"", ""name"": ""北沟村"", ""public_transport"": ""stop_position""}"
BJ20_08,慕田峪长城,长城关隘类,node_2978596315,node,2978596315,,transport,transport,40.4307384,116.5640918,413.4,"{""aerialway"": ""station"", ""public_transport"": ""station""}"
BJ20_08,慕田峪长城,长城关隘类,node_3721939242,node,3721939242,Mr. Yan,food_retail,food_retail,40.428739,116.5559012,899.2,"{""amenity"": ""restaurant"", ""cuisine"": ""asian"", ""name"": ""Mr. Yan"", ""name:de"": ""Mr. Yan"", ""name:en"": ""Mr. Yan""}"
BJ20_08,慕田峪长城,长城关隘类,node_4116294061,node,4116294061,过渡车站,transport,transport,40.4310972,116.556816,672.85,"{""name"": ""过渡车站"", ""name:en"": ""Visitor Shuttle Terminal"", ""name:zh"": ""过渡车站"", ""name:zh-Hans"": ""过渡车站"", ""name:zh-Hant"": ""過渡車站"", ""opening_hours"": ""07:20-19:00"", ""public_transport"": ""platform"", ""wheelchair"": ""no""}"
