official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_08,慕田峪长城,长城关隘类,1000,transport,3,409.41
BJ20_08,慕田峪长城,长城关隘类,1000,parking,5,590.4
BJ20_08,慕田峪长城,长城关隘类,1000,food_retail,7,17.6
BJ20_08,慕田峪长城,长城关隘类,1000,lodging,1,982.11
BJ20_08,慕田峪长城,长城关隘类,1000,commercial,1,263.44
BJ20_08,慕田峪长城,长城关隘类,1000,public_service,17,14.95
BJ20_08,慕田峪长城,长城关隘类,1000,nearby_attractions,10,241.44
BJ20_08,慕田峪长城,长城关隘类,2000,transport,14,409.41
BJ20_08,慕田峪长城,长城关隘类,2000,parking,7,590.4
BJ20_08,慕田峪长城,长城关隘类,2000,food_retail,8,17.6
BJ20_08,慕田峪长城,长城关隘类,2000,lodging,2,982.11
BJ20_08,慕田峪长城,长城关隘类,2000,commercial,1,263.44
BJ20_08,慕田峪长城,长城关隘类,2000,public_service,18,14.95
BJ20_08,慕田峪长城,长城关隘类,2000,nearby_attractions,19,241.44
