official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_06,明十三陵,皇家文化类,1000,transport,16,106.48
BJ20_06,明十三陵,皇家文化类,1000,parking,2,748.78
BJ20_06,明十三陵,皇家文化类,1000,food_retail,0,
BJ20_06,明十三陵,皇家文化类,1000,lodging,0,
BJ20_06,明十三陵,皇家文化类,1000,commercial,0,
BJ20_06,明十三陵,皇家文化类,1000,public_service,1,369.26
BJ20_06,明十三陵,皇家文化类,1000,nearby_attractions,5,380.71
BJ20_06,明十三陵,皇家文化类,2000,transport,56,106.48
BJ20_06,明十三陵,皇家文化类,2000,parking,4,748.78
BJ20_06,明十三陵,皇家文化类,2000,food_retail,3,1321.58
BJ20_06,明十三陵,皇家文化类,2000,lodging,0,
BJ20_06,明十三陵,皇家文化类,2000,commercial,0,
BJ20_06,明十三陵,皇家文化类,2000,public_service,3,369.26
BJ20_06,明十三陵,皇家文化类,2000,nearby_attractions,6,380.71
