official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json,poi_zone
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,way_655522861,way,655522861,,public_service,public_service,39.9134257,116.3159552,311.67,"{""amenity"": ""toilets"", ""building"": ""yes"", ""fee"": ""no"", ""wheelchair"": ""yes""}",internal
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9771632994,node,9771632994,,parking,parking,39.9187116,116.313515,325.73,"{""amenity"": ""parking_entrance""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9771632998,node,9771632998,,parking,parking,39.9188041,116.316183,380.19,"{""amenity"": ""parking_entrance""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,way_647165944,way,647165944,卫生间,public_service,public_service,39.9137304,116.3197877,542.56,"{""amenity"": ""toilets"", ""building"": ""yes"", ""fee"": ""no"", ""name"": ""卫生间""}",internal
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,way_655151425,way,655151425,中国人民解放军总医院第六医学中心,public_service,public_service,39.9205574,116.3173934,600.77,"{""alt_name"": ""中国人民解放军海军总医院"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""landuse"": ""military"", ""name"": ""中国人民解放军总医院第六医学中心"", ""old_ref"": ""中国人民解放军海军总医院"", ""wikidata"": ""Q28415815"", ""wikipedia"": ""zh:中国人民解放军总医院第六医学中心""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,way_654648562,way,654648562,,parking,parking,39.9104157,116.3152185,608.2,"{""amenity"": ""parking""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9702385795,node,9702385795,玉渊潭南门,bus,transport,39.9099049,116.3127333,665.81,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""玉渊潭南门"", ""name:zh"": ""玉渊潭南门"", ""public_transport"": ""platform""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9702385794,node,9702385794,玉渊潭南门,transport,transport,39.9097888,116.3127128,678.83,"{""bus"": ""yes"", ""name"": ""玉渊潭南门"", ""name:zh"": ""玉渊潭南门"", ""public_transport"": ""stop_position""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9702385797,node,9702385797,玉渊潭南门,transport,transport,39.909743,116.3168052,714.79,"{""bus"": ""yes"", ""name"": ""玉渊潭南门"", ""name:zh"": ""玉渊潭南门"", ""public_transport"": ""stop_position""}",external
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,node_9702385796,node,9702385796,玉渊潭南门,bus,transport,39.9096889,116.3168156,720.76,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""玉渊潭南门"", ""name:zh"": ""玉渊潭南门"", ""public_transport"": ""platform""}",external
