official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_02,颐和园,皇家文化类,node_269492188,node,269492188,,public_service,public_service,39.9808692,116.267504,1052.9,"{""amenity"": ""toilets"", ""check_date"": ""2022-04-23"", ""fee"": ""no""}"
BJ20_02,颐和园,皇家文化类,node_269708600,node,269708600,铜牛,nearby_attractions,nearby_attractions,39.9894163,116.2734196,743.29,"{""name"": ""铜牛"", ""name:en"": ""Bronze Ox"", ""name:zh"": ""铜牛"", ""tourism"": ""attraction""}"
BJ20_02,颐和园,皇家文化类,node_274942287,node,274942287,,public_service,public_service,39.9966395,116.2735788,1046.88,"{""amenity"": ""toilets"", ""check_date"": ""2022-09-18"", ""fee"": ""no"", ""wheelchair"": ""no""}"
BJ20_02,颐和园,皇家文化类,node_274942596,node,274942596,水木自亲码头,nearby_attractions,nearby_attractions,39.9970578,116.2723183,1007.77,"{""name"": ""水木自亲码头"", ""name:zh-Hant"": ""水木自親碼頭"", ""tourism"": ""viewpoint""}"
BJ20_02,颐和园,皇家文化类,node_274942613,node,274942613,日月成辉,nearby_attractions,nearby_attractions,39.996505,116.2729818,1000.21,"{""name"": ""日月成辉"", ""name:zh-Latn-pinyin"": ""Ri Yue Cheng Hui"", ""tourism"": ""viewpoint""}"
BJ20_02,颐和园,皇家文化类,node_300814728,node,300814728,六郎庄西口,transport,transport,39.982405,116.2740962,1169.26,"{""bus"": ""yes"", ""name"": ""六郎庄西口"", ""name:zh"": ""六郎庄西口"", ""public_transport"": ""stop_position""}"
BJ20_02,颐和园,皇家文化类,node_528916026,node,528916026,西苑,transport,transport,39.9966504,116.2855053,1913.1,"{""name"": ""西苑"", ""name:en"": ""Xiyuan"", ""name:zh"": ""西苑"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_02,颐和园,皇家文化类,node_528916061,node,528916061,北宫门,transport,transport,40.001161,116.2713357,1352.35,"{""name"": ""北宫门"", ""name:en"": ""Beigongmen"", ""name:zh"": ""北宫门"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""subway"": ""yes""}"
BJ20_02,颐和园,皇家文化类,node_563686304,node,563686304,颐和园西门,transport,transport,39.9852116,116.2562785,902.76,"{""bus"": ""yes"", ""name"": ""颐和园西门"", ""name:en"": ""West Gate of Summer Palace"", ""name:zh"": ""颐和园西门"", ""public_transport"": ""stop_position""}"
BJ20_02,颐和园,皇家文化类,node_563686305,node,563686305,颐和园西门,transport,transport,39.984952,116.25597,941.15,"{""bus"": ""yes"", ""name"": ""颐和园西门"", ""name:en"": ""West Gate of Summer Palace"", ""name:zh"": ""颐和园西门"", ""public_transport"": ""stop_position""}"
