official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,transport,144,107.59
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,parking,0,
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,food_retail,14,264.78
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,lodging,3,342.13
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,commercial,0,
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,public_service,8,164.05
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1000,nearby_attractions,0,
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,transport,491,107.59
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,parking,33,1058.49
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,food_retail,56,264.78
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,lodging,23,342.13
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,commercial,5,1388.11
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,public_service,45,164.05
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,2000,nearby_attractions,2,1567.61
