official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,transport,6,394.44
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,parking,8,711.99
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,food_retail,13,139.47
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,lodging,1,624.91
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,commercial,2,754.28
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,public_service,19,206.12
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1000,nearby_attractions,16,155.67
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,transport,20,394.44
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,parking,18,711.99
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,food_retail,18,139.47
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,lodging,2,624.91
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,commercial,2,754.28
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,public_service,42,206.12
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,2000,nearby_attractions,30,155.67
