official_scenic_id,scenic_name,category_name,lat,lng,display_name,anchor_source,resolve_status,query_used,osm_type,osm_id
BJ20_01,故宫博物院,皇家文化类,39.9174311,116.3907817,"故宫博物院, 4号, 景山前街, 智德社区, 东华门街道, 首都功能核心区, 东城区, 北京市, 100010, 中国",osm_nominatim,resolved,"故宫博物院, 北京市, 中国",node,3884441391
BJ20_02,颐和园,皇家文化类,39.9900983,116.2647403,"颐和园, 19, 海淀区, 北京市, 100091, 中国",osm_nominatim,resolved,"颐和园, 北京市, 中国",way,29228773
BJ20_03,天坛公园,皇家文化类,39.8799067,116.4028716,"天坛公园, 首都功能核心区, 东城区, 北京市, 100010, 中国",osm_nominatim,resolved,"天坛公园, 北京市, 中国",way,24824550
BJ20_04,景山公园,皇家文化类,39.9244589,116.3903973,"景山公园, 什刹海街道, 首都功能核心区, 西城区, 北京市, 100032, 中国",osm_nominatim,resolved,"景山公园, 北京市, 中国",way,29201967
BJ20_05,恭王府,皇家文化类,39.9352509,116.3801241,"恭王府, 17, 前海西街, 什刹海街道, 首都功能核心区, 西城区, 北京市, 100032, 中国",osm_nominatim,resolved,"恭王府, 北京市, 中国",way,26514871
BJ20_06,明十三陵,皇家文化类,40.2589315,116.2201625,"明十三陵神道, 十三陵镇, 昌平区, 北京市, 中国",osm_nominatim,resolved,"明十三陵, 北京市, 中国",way,1303123866
BJ20_07,八达岭长城,长城关隘类,40.3603284,116.0050515,"八达岭长城, 出站通道, 延庆区, 北京市, 中国",osm_nominatim,resolved,"八达岭长城, 北京市, 中国",node,6472124842
BJ20_08,慕田峪长城,长城关隘类,40.4344246,116.563456,"慕田峪长城, 怀柔区, 北京市, 101405, 中国",osm_nominatim,resolved,"慕田峪长城, 北京市, 中国",way,85322148
BJ20_09,居庸关长城,长城关隘类,40.2884256,116.0592053,"居庸关长城, 南站, 南口镇, 昌平区, 北京市, 中国",osm_nominatim,resolved,"居庸关长城, 北京市, 中国",way,60124709
BJ20_10,司马台长城,长城关隘类,40.6587343,117.2843817,"司马台长城, 古北口镇, 密云区, 北京市, 河北省, 中国",osm_nominatim,resolved,"司马台长城, 北京市, 中国",way,33425432
BJ20_11,潭柘寺,宗教古建类,39.9028434,116.0244727,"潭柘寺, 潭柘寺镇, 门头沟区, 北京市, 中国",osm_nominatim,resolved,"潭柘寺, 北京市, 中国",way,537178957
BJ20_12,红螺寺,宗教古建类,40.375601,116.6203296,"红螺寺, 红螺路, 东宫上, 怀柔区, 北京市, 101422, 中国",osm_nominatim,resolved,"红螺寺, 北京市, 中国",way,491869586
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,39.9050194,116.3358736,"首都博物馆, 16, 复兴门外大街, 月坛街道, 首都功能核心区, 西城区, 北京市, 100032, 中国",osm_nominatim,resolved,"首都博物馆, 北京市, 中国",way,136998797
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,39.9356769,116.3308878,"北京天文馆, 西直门外南路, 展览路街道, 首都功能核心区, 西城区, 北京市, 100032, 中国",osm_nominatim,resolved,"北京天文馆, 北京市, 中国",way,78051172
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,40.00447,116.3925323,"中国科学技术馆, 湖景东路, 娘娘坟, 奥运村街道, 朝阳区, 北京市, 100120, 中国",osm_nominatim,resolved,"中国科学技术馆, 北京市, 中国",way,161298694
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,39.9894,116.1813774,"香山公园, 香山街道, 海淀区, 北京市, 中国",osm_nominatim,resolved,"香山公园, 北京市, 中国",relation,8758884
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,39.9410411,116.3295423,"北京动物园, 五塔寺路, 北下关街道, 海淀区, 北京市, 100835, 中国",osm_nominatim,resolved,"北京动物园, 北京市, 中国",way,29222967
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,39.9158092,116.3140323,"玉渊潭公园, 甘家口街道, 海淀区, 北京市, 中国",osm_nominatim,resolved,"玉渊潭公园, 北京市, 中国",way,29222903
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,39.9915785,116.3841726,"国家游泳中心（水立方）, 11, 天辰东路, 北顶村, 奥运村街道, 朝阳区, 北京市, 100120, 中国",osm_nominatim,resolved,"国家游泳中心, 北京市, 中国",way,29201257
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,40.0066333,116.3955139,北京奥林匹克塔（人工补录锚点）,manual_patch,resolved_manual,manual_patch_camera_location,manual,manual_olympic_tower
