official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json
BJ20_01,故宫博物院,皇家文化类,node_991507737,node,991507737,,food_retail,food_retail,39.9176792,116.3916031,75.29,"{""amenity"": ""cafe""}"
BJ20_01,故宫博物院,皇家文化类,way_685428160,way,685428160,,public_service,public_service,39.9177921,116.3915408,76.17,"{""amenity"": ""toilets"", ""building"": ""yes"", ""building:colour"": ""firebrick"", ""building:material"": ""wood"", ""fee"": ""no"", ""height"": ""8"", ""note"": ""4 STAR-RATED TOILET"", ""roof:colour"": ""#FB994D"", ""roof:height"": ""1"", ""roof:material"": ""roof_tiles"", ""roof:orientation"": ""along"", ""roof:shape"": ""gabled"", ""wheelchair"": ""yes""}"
BJ20_01,故宫博物院,皇家文化类,node_7591778354,node,7591778354,,public_service,public_service,39.9177984,116.3900262,76.29,"{""amenity"": ""toilets""}"
BJ20_01,故宫博物院,皇家文化类,node_3806061123,node,3806061123,,commercial,commercial,39.9176813,116.391739,86.25,"{""shop"": ""gift""}"
BJ20_01,故宫博物院,皇家文化类,node_991507773,node,991507773,,food_retail,food_retail,39.9174165,116.3895043,108.95,"{""amenity"": ""restaurant""}"
BJ20_01,故宫博物院,皇家文化类,way_523763697,way,523763697,,public_service,public_service,39.9172474,116.3920787,112.48,"{""amenity"": ""toilets"", ""building"": ""yes"", ""building:levels"": ""1""}"
BJ20_01,故宫博物院,皇家文化类,relation_9511883,relation,9511883,故宫,nearby_attractions,nearby_attractions,39.9164064,116.3907961,113.95,"{""alt_name"": ""紫禁城;北京故宫;北京故宫博物院"", ""boundary"": ""historic"", ""castle_type"": ""palace"", ""heritage"": ""1;2"", ""heritage:operator"": ""whc;cn:guobao"", ""historic"": ""castle"", ""landmark"": ""1"", ""layer"": ""-4"", ""name"": ""故宫"", ""name:cs"": ""Zakázané město"", ""name:de"": ""Verbotene Stadt"", ""name:en"": ""Forbidden City"", ""name:es"": ""Ciudad Prohibida"", ""name:fi"": ""Kielletty kaupunki"", ""name:fr"": ""Cité Interdite"", ""name:hi"": ""निषिद्ध नगर"", ""name:hr"": ""Zabranjeni grad"", ""name:it"": ""Città Proibita"", ""name:ja"": ""紫禁城"", ""name:ml"": ""വിലക്കപ്പെട്ട നഗരം"", ""name:pl"": ""Zakazane Miasto"", ""name:ru"": ""Запретный город"", ""name:sk"": ""Zakázané mesto"", ""name:sl"": ""Prepovedano mesto"", ""name:sv"": ""Förbjudna staden"", ""name:vi"": ""Tử Cấm Thành"", ""name:zh"": ""故宫"", ""name:zh-Hans"": ""故宫"", ""name:zh-Latn-pinyin"": ""Gùgōng"", ""opening_hours"": ""Mo-Su 08:30-17:00; Oct 16-Apr 15 08:30-16:30"", ""ref:cn:guobao"": ""1-100"", ""ref:whc"": ""439-001"", ""tourism"": ""attraction"", ""type"": ""boundary"", ""whc:criteria"": ""(i),(ii),(iii),(iv)"", ""whc:inscription_date"": ""1987"", ""wikidata"": ""Q80290"", ""wikimedia_commons"": ""Category:Forbidden City"", ""wikipedia"": ""zh:故宫""}"
BJ20_01,故宫博物院,皇家文化类,node_7591752648,node,7591752648,,public_service,public_service,39.917175,116.3894653,115.82,"{""amenity"": ""toilets""}"
BJ20_01,故宫博物院,皇家文化类,node_4167796797,node,4167796797,故宫餐厅,food_retail,food_retail,39.9169219,116.3922372,136.43,"{""addr:postcode"": ""100010"", ""amenity"": ""restaurant"", ""name"": ""故宫餐厅"", ""name:en"": ""Palace Museum Restaurant"", ""name:zh"": ""故宫餐厅"", ""name:zh-Hans"": ""故宫餐厅"", ""name:zh-Hant"": ""故宮餐廳""}"
BJ20_01,故宫博物院,皇家文化类,node_4375182089,node,4375182089,,public_service,public_service,39.9176797,116.3924182,142.28,"{""amenity"": ""atm""}"
BJ20_01,故宫博物院,皇家文化类,node_5114336003,node,5114336003,冰角咖啡店,food_retail,food_retail,39.9167594,116.389017,168.01,"{""amenity"": ""cafe"", ""cuisine"": ""ice_cream"", ""name"": ""冰角咖啡店"", ""name:en"": ""Bingjiao"", ""name:ru"": ""Кафе-мороженое"", ""name:zh"": ""冰角咖啡店"", ""name:zh-Hans"": ""冰角咖啡店"", ""name:zh-Hant"": ""冰角咖啡店"", ""name:zh-Latn-pinyin"": ""Bīngjiǎo kāfēidiàn""}"
BJ20_01,故宫博物院,皇家文化类,node_6123072669,node,6123072669,纪念品商店,commercial,commercial,39.9189943,116.3912639,178.62,"{""name"": ""纪念品商店"", ""name:zh"": ""纪念品商店"", ""name:zh-Hans"": ""纪念品商店"", ""name:zh-Hant"": ""紀念品商店"", ""shop"": ""gift""}"
BJ20_01,故宫博物院,皇家文化类,node_3806065757,node,3806065757,,commercial,commercial,39.9186713,116.3922899,188.58,"{""shop"": ""gift""}"
BJ20_01,故宫博物院,皇家文化类,node_6418617985,node,6418617985,冰窖,food_retail,food_retail,39.9163127,116.3890306,194.34,"{""amenity"": ""restaurant"", ""name"": ""冰窖"", ""name:en"": ""Bingjiao""}"
BJ20_01,故宫博物院,皇家文化类,way_43525086,way,43525086,钟表馆,nearby_attractions,nearby_attractions,39.9185075,116.3928235,211.3,"{""building"": ""yes"", ""historic"": ""yes"", ""name"": ""钟表馆"", ""name:en"": ""Clock and Watch Museum"", ""name:vi"": ""Chung Biểu Quán"", ""name:zh"": ""钟表馆"", ""tourism"": ""museum""}"
BJ20_01,故宫博物院,皇家文化类,node_4375182389,node,4375182389,,public_service,public_service,39.9171632,116.3934615,230.48,"{""amenity"": ""atm""}"
BJ20_01,故宫博物院,皇家文化类,node_6917434085,node,6917434085,,public_service,public_service,39.9195271,116.3900068,242.25,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name:en"": ""Longevity""}"
BJ20_01,故宫博物院,皇家文化类,node_6917434086,node,6917434086,,commercial,commercial,39.9196995,116.3903972,254.36,"{""name:en"": ""Palace Museum Shop"", ""shop"": ""gift""}"
BJ20_01,故宫博物院,皇家文化类,node_6917430786,node,6917430786,,commercial,commercial,39.9196428,116.3900089,254.61,"{""shop"": ""gift""}"
BJ20_01,故宫博物院,皇家文化类,node_6917434185,node,6917434185,故宫博物院餐厅,food_retail,food_retail,39.9197219,116.3908409,254.78,"{""amenity"": ""restaurant"", ""cuisine"": ""chinese"", ""name"": ""故宫博物院餐厅"", ""name:en"": ""The Palace Museum Restaurant""}"
