official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_01,故宫博物院,皇家文化类,1000,commercial,12,86.25
BJ20_01,故宫博物院,皇家文化类,1000,food_retail,41,75.29
BJ20_01,故宫博物院,皇家文化类,1000,lodging,10,630.25
BJ20_01,故宫博物院,皇家文化类,1000,nearby_attractions,24,113.95
BJ20_01,故宫博物院,皇家文化类,1000,parking,9,369.51
BJ20_01,故宫博物院,皇家文化类,1000,public_service,48,76.17
BJ20_01,故宫博物院,皇家文化类,1000,transport,53,494.03
BJ20_01,故宫博物院,皇家文化类,2000,commercial,29,86.25
BJ20_01,故宫博物院,皇家文化类,2000,food_retail,250,75.29
BJ20_01,故宫博物院,皇家文化类,2000,lodging,69,630.25
BJ20_01,故宫博物院,皇家文化类,2000,nearby_attractions,59,113.95
BJ20_01,故宫博物院,皇家文化类,2000,parking,31,369.51
BJ20_01,故宫博物院,皇家文化类,2000,public_service,136,76.17
BJ20_01,故宫博物院,皇家文化类,2000,transport,377,494.03
BJ20_02,颐和园,皇家文化类,1000,commercial,1,456.74
BJ20_02,颐和园,皇家文化类,1000,food_retail,8,706.09
BJ20_02,颐和园,皇家文化类,1000,lodging,0,
BJ20_02,颐和园,皇家文化类,1000,nearby_attractions,9,595.1
BJ20_02,颐和园,皇家文化类,1000,parking,4,770.69
BJ20_02,颐和园,皇家文化类,1000,public_service,10,410.21
BJ20_02,颐和园,皇家文化类,1000,transport,15,852.37
BJ20_02,颐和园,皇家文化类,2000,commercial,6,456.74
BJ20_02,颐和园,皇家文化类,2000,food_retail,33,706.09
BJ20_02,颐和园,皇家文化类,2000,lodging,1,1303.05
BJ20_02,颐和园,皇家文化类,2000,nearby_attractions,32,595.1
BJ20_02,颐和园,皇家文化类,2000,parking,20,770.69
BJ20_02,颐和园,皇家文化类,2000,public_service,30,410.21
BJ20_02,颐和园,皇家文化类,2000,transport,123,852.37
BJ20_03,天坛公园,皇家文化类,1000,commercial,4,367.86
BJ20_03,天坛公园,皇家文化类,1000,food_retail,12,363.29
BJ20_03,天坛公园,皇家文化类,1000,lodging,5,843.65
BJ20_03,天坛公园,皇家文化类,1000,nearby_attractions,17,116.54
BJ20_03,天坛公园,皇家文化类,1000,parking,11,706.44
BJ20_03,天坛公园,皇家文化类,1000,public_service,21,17.41
BJ20_03,天坛公园,皇家文化类,1000,transport,66,773.07
BJ20_03,天坛公园,皇家文化类,2000,commercial,12,367.86
BJ20_03,天坛公园,皇家文化类,2000,food_retail,104,363.29
BJ20_03,天坛公园,皇家文化类,2000,lodging,41,843.65
BJ20_03,天坛公园,皇家文化类,2000,nearby_attractions,27,116.54
BJ20_03,天坛公园,皇家文化类,2000,parking,33,706.44
BJ20_03,天坛公园,皇家文化类,2000,public_service,66,17.41
BJ20_03,天坛公园,皇家文化类,2000,transport,398,773.07
BJ20_04,景山公园,皇家文化类,1000,commercial,9,509.9
BJ20_04,景山公园,皇家文化类,1000,food_retail,63,196.29
BJ20_04,景山公园,皇家文化类,1000,lodging,7,406.57
BJ20_04,景山公园,皇家文化类,1000,nearby_attractions,26,117.49
BJ20_04,景山公园,皇家文化类,1000,parking,8,250.41
BJ20_04,景山公园,皇家文化类,1000,public_service,36,147.77
BJ20_04,景山公园,皇家文化类,1000,transport,80,245.49
BJ20_04,景山公园,皇家文化类,2000,commercial,27,509.9
