official_scenic_id,scenic_name,category_name,has_boundary_polygon,poi_zone,poi_n,transport_n,parking_n,food_retail_n,lodging_n,commercial_n,public_service_n,nearby_attractions_n
BJ20_01,故宫博物院,皇家文化类,0,unknown,960,379,32,251,70,30,136,62
BJ20_02,颐和园,皇家文化类,1,external,195,124,21,18,0,1,13,18
BJ20_02,颐和园,皇家文化类,1,internal,53,0,0,15,1,5,17,15
BJ20_03,天坛公园,皇家文化类,1,external,649,401,31,102,41,12,51,11
BJ20_03,天坛公园,皇家文化类,1,internal,36,0,2,2,0,2,15,16
BJ20_04,景山公园,皇家文化类,1,external,1071,346,31,352,78,27,177,60
BJ20_04,景山公园,皇家文化类,1,internal,13,0,2,2,0,0,4,5
BJ20_05,恭王府,皇家文化类,1,external,1097,447,50,339,59,17,138,48
BJ20_05,恭王府,皇家文化类,1,internal,1,0,0,0,0,0,0,1
BJ20_06,明十三陵,皇家文化类,1,external,69,56,4,3,0,0,2,4
BJ20_06,明十三陵,皇家文化类,1,internal,3,0,0,0,0,0,1,2
BJ20_07,八达岭长城,长城关隘类,0,unknown,188,42,17,29,12,13,28,48
BJ20_08,慕田峪长城,长城关隘类,1,external,67,14,7,8,2,1,17,19
BJ20_08,慕田峪长城,长城关隘类,1,internal,2,0,0,0,0,0,1,1
BJ20_09,居庸关长城,长城关隘类,1,external,78,28,4,4,2,4,10,26
BJ20_09,居庸关长城,长城关隘类,1,internal,4,0,0,0,0,1,3,0
BJ20_10,司马台长城,长城关隘类,1,external,25,1,0,4,6,1,5,8
BJ20_11,潭柘寺,宗教古建类,1,external,46,25,4,2,4,0,1,10
BJ20_11,潭柘寺,宗教古建类,1,internal,4,0,1,0,0,0,3,0
BJ20_12,红螺寺,宗教古建类,1,external,51,28,10,2,1,1,6,3
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1,external,667,502,34,56,23,5,46,2
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1,external,871,550,44,130,27,11,90,19
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1,external,786,267,86,254,36,7,118,18
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1,external,90,14,20,8,1,0,30,17
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1,internal,44,6,0,10,1,2,12,13
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1,external,785,487,44,121,25,11,83,14
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1,internal,18,1,1,5,1,0,5,5
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,1,external,589,451,17,59,20,5,35,4
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,1,internal,2,0,0,0,0,0,2,0
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1,external,838,345,90,254,34,8,96,11
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,0,unknown,714,231,82,232,34,7,112,16
