token,global_freq
不错,6025
讲解,5177
孩子,3471
导游,3090
历史,3033
体验,2977
景色,2795
方便,2357
推荐,2201
老师,1889
喜欢,1692
看到,1687
时间,1643
建筑,1548
秀才,1517
参观,1490
门票,1431
好好,1347
知识,1326
游客,1285
动物,1257
有趣,1171
小时,1150
服务,1133
一去,1129
今天,1103
适合,1070
建议,1041
性价比,1012
很棒,1000
需要,979
看看,972
皇家,961
一定,958
环境,948
自己,940
了解,935
专业,930
游览,920
好玩,917
缆车,913
感受,884
排队,870
天气,855
很大,855
美丽,805
下次,800
园林,776
丰富,760
红叶,752
位于,735
耐心,727
游玩,718
详细,718
动物园,715
总体,706
开心,696
大家,688
爬山,685
小朋友,675
拍照,672
北京城,665
选择,665
这次,661
携程,642
故事,638
不过,636
虽然,636
打卡,633
旅行,622
细致,619
漂亮,610
现在,606
路线,603
进入,591
之一,590
整个,588
开始,584
满意,576
全程,575
提前,572
一般,570
直接,565
交通,563
什么,549
其他,547
人少,545
安排,542
最好,526
一天,518
开放,516
知道,516
壮观,514
皇帝,513
必须,506
樱花,505
熊猫,504
行程,502
主要,501
一起,497
活动,496
超级,496
巡山,495
东西,494
俯瞰,484
内容,479
秋天,477
很漂亮,474
李导,474
寺庙,471
下山,468
这是,468
购买,467
好看,466
只是,464
一座,462
朋友,454
应该,452
可能,451
令人,450
古代,448
一样,445
冬天,444
十分,444
八达岭,438
山顶,438
买票,437
停车场,434
完全,434
不要,433
整体,433
科技馆,433
绝对,431
一游,428
每年,428
收获,427
欣赏,427
热情,423
生动,423
登顶,417
中轴线,416
一直,415
分钟,415
老人,414
上山,413
然后,408
定陵,404
那么,403
北门,402
真是,402
不能,401
便宜,400
水立方,399
到达,395
有些,394
最后,391
人太多,390
价格,390
一切,388
下午,387
尤其,386
不用,384
希望,383
超赞,381
来说,380
通过,380
一路,376
一点,374
不少,374
机会,372
紫禁城,372
不同,368
周末,366
第一次,366
合理,365
两个,364
除了,362
世界,361
强烈推荐,361
震撼,361
下来,359
索道,359
昆明湖,357
季节,354
清晰,353
介绍,351
只有,350
出行,349
体力,348
全景,347
台阶,347
春天,347
所有,346
特色,346
不仅,345
值得一看,345
确实,345
还会,345
美景,343
免费,341
早上,341
预订,341
平台,339
登山,339
预约,339
优美,337
起来,336
学习,335
工作人员,334
晚上,334
这么,334
东门,333
以后,331
门口,331
入口,329
拥挤,328
各种,327
作为,326
自然,326
quot,325
不到长城非好汉,323
好去处,323
不好,320
城市,319
位置,317
步行,316
只能,315
可爱,315
千年,313
祈年殿,313
著名,313
购票,313
到位,312
容易,312
学到,311
每个,311
许多,310
仿佛,308
发现,308
问题,308
之后,306
其中,305
其实,305
幽默,305
不会,303
好多,301
山上,301
舒服,301
长廊,301
人不多,300
长陵,300
干净,299
这样,299
好评,298
附近,298
感谢,297
阳光,296
夏天,294
意义,294
印象,293
深刻,287
现场,287
熊猫馆,286
停车,285
园内,282
散步,282
提供,279
舒适,279
重要,277
几个,275
享受,274
佛香阁,274
有意思,274
地铁,273
小孩,273
不到,272
实在,272
展览,272
完美,270
更好,269
这种,269
不虚此行,267
夜景,267
古树,266
愉快,266
最大,265
之前,264
