official_scenic_id,scenic_name,category_name,total_priority_index,mean_dissatisfaction,urgency_tier
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,0.32509505703422026,0.3170259812050856,高
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,0.2528301886792451,0.34108946608946605,高
BJ20_06,明十三陵,皇家文化类,0.2393822393822393,0.22894439961747656,高
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,0.2132352941176469,0.3252374784110535,高
BJ20_03,天坛公园,皇家文化类,0.16423357664233568,0.1393162393162393,高
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,0.14102564102564089,0.24790564373897703,高
BJ20_08,慕田峪长城,长城关隘类,0.1370106761565835,0.14508357915437559,高
BJ20_07,八达岭长城,长城关隘类,0.1200716845878136,0.16443069509107242,中
BJ20_11,潭柘寺,宗教古建类,0.09701492537313419,0.05413216011042097,中
BJ20_02,颐和园,皇家文化类,0.0956175298804779,0.1356041894770792,中
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,0.09191176470588219,0.2358674463937622,中
BJ20_10,司马台长城,长城关隘类,0.0894736842105262,0.09658899020601146,中
BJ20_05,恭王府,皇家文化类,0.0858208955223878,0.11273123600801223,中
BJ20_01,故宫博物院,皇家文化类,0.0839160839160839,0.11986236802413273,低
BJ20_04,景山公园,皇家文化类,0.08303249097472899,0.13204894752513793,低
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,0.0788288288288288,0.1642156862745098,低
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,0.056179775280898694,0.15707943215400336,低
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,0.047970479704797,0.08702565744819261,低
BJ20_12,红螺寺,宗教古建类,0.044280442804428,0.07067550505050503,低
BJ20_09,居庸关长城,长城关隘类,0.039855072463768,0.07023809523809522,低
