lda_topic_name_cn,review_n,issue_review_n,tag_key,tag_review_n,tag_share_in_theme_reviews,tag_share_within_issue_reviews
交通与开放空间体验,795,26,ticket_price,11,0.013836,0.423077
交通与开放空间体验,795,26,crowding,8,0.010063,0.307692
交通与开放空间体验,795,26,reservation_entry,3,0.003774,0.115385
交通与开放空间体验,795,26,queue_wait,2,0.002516,0.076923
交通与开放空间体验,795,26,facility_hygiene,2,0.002516,0.076923
交通与开放空间体验,795,26,commercialization,2,0.002516,0.076923
交通与开放空间体验,795,26,platform_transaction,2,0.002516,0.076923
交通与开放空间体验,795,26,staff_service,1,0.001258,0.038462
交通与开放空间体验,795,26,service_process,1,0.001258,0.038462
交通与开放空间体验,795,26,guide_explanation,1,0.001258,0.038462
交通与开放空间体验,795,26,traffic_access,1,0.001258,0.038462
整体满意与感知评价,1556,283,crowding,100,0.064267,0.353357
整体满意与感知评价,1556,283,ticket_price,88,0.056555,0.310954
整体满意与感知评价,1556,283,queue_wait,47,0.030206,0.166078
整体满意与感知评价,1556,283,traffic_access,36,0.023136,0.127208
整体满意与感知评价,1556,283,staff_service,24,0.015424,0.084806
整体满意与感知评价,1556,283,facility_hygiene,23,0.014781,0.081272
整体满意与感知评价,1556,283,commercialization,22,0.014139,0.077739
整体满意与感知评价,1556,283,guide_explanation,17,0.010925,0.060071
整体满意与感知评价,1556,283,service_process,14,0.008997,0.04947
整体满意与感知评价,1556,283,reservation_entry,8,0.005141,0.028269
整体满意与感知评价,1556,283,platform_transaction,6,0.003856,0.021201
现场服务与导览体验,1235,95,guide_explanation,50,0.040486,0.526316
现场服务与导览体验,1235,95,ticket_price,18,0.014575,0.189474
现场服务与导览体验,1235,95,crowding,17,0.013765,0.178947
现场服务与导览体验,1235,95,staff_service,15,0.012146,0.157895
现场服务与导览体验,1235,95,service_process,10,0.008097,0.105263
现场服务与导览体验,1235,95,reservation_entry,9,0.007287,0.094737
现场服务与导览体验,1235,95,platform_transaction,6,0.004858,0.063158
现场服务与导览体验,1235,95,queue_wait,3,0.002429,0.031579
现场服务与导览体验,1235,95,commercialization,3,0.002429,0.031579
现场服务与导览体验,1235,95,traffic_access,2,0.001619,0.021053
现场服务与导览体验,1235,95,facility_hygiene,2,0.001619,0.021053
票务预约与入园体验,1794,428,ticket_price,112,0.06243,0.261682
票务预约与入园体验,1794,428,crowding,84,0.046823,0.196262
票务预约与入园体验,1794,428,traffic_access,76,0.042363,0.17757
票务预约与入园体验,1794,428,queue_wait,63,0.035117,0.147196
票务预约与入园体验,1794,428,reservation_entry,62,0.03456,0.14486
票务预约与入园体验,1794,428,platform_transaction,50,0.027871,0.116822
票务预约与入园体验,1794,428,guide_explanation,42,0.023411,0.098131
票务预约与入园体验,1794,428,commercialization,29,0.016165,0.067757
票务预约与入园体验,1794,428,staff_service,26,0.014493,0.060748
票务预约与入园体验,1794,428,service_process,24,0.013378,0.056075
票务预约与入园体验,1794,428,facility_hygiene,21,0.011706,0.049065
