official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_negative_n,sample_n,importance,issue_rate,negative_rate,dissatisfaction_index,performance,priority_index
BJ20_01,故宫博物院,交通与开放空间体验,0,4,0,0,286,0.013986013986013986,0.0,0.0,0.0,1.0,0.0
BJ20_01,故宫博物院,现场服务与导览体验,0,208,6,9,286,0.7272727272727273,0.028846153846153848,0.04326923076923077,0.036057692307692304,0.9639423076923077,0.02622377622377622
BJ20_01,故宫博物院,票务预约与入园体验,0,51,11,22,286,0.17832167832167833,0.21568627450980393,0.43137254901960786,0.3235294117647059,0.6764705882352942,0.0576923076923077
BJ20_01,故宫博物院,整体满意与感知评价,1,23,11,5,286,0.08041958041958042,0.4782608695652174,0.21739130434782608,0.34782608695652173,0.6521739130434783,0.02797202797202797
BJ20_02,颐和园,交通与开放空间体验,0,57,1,0,251,0.22709163346613545,0.017543859649122806,0.0,0.008771929824561403,0.9912280701754386,0.00199203187250996
BJ20_02,颐和园,现场服务与导览体验,0,106,6,5,251,0.42231075697211157,0.05660377358490566,0.04716981132075472,0.05188679245283019,0.9481132075471698,0.021912350597609563
BJ20_02,颐和园,票务预约与入园体验,0,52,15,21,251,0.20717131474103587,0.28846153846153844,0.40384615384615385,0.34615384615384615,0.6538461538461539,0.07171314741035857
BJ20_02,颐和园,整体满意与感知评价,1,36,5,7,251,0.14342629482071714,0.1388888888888889,0.19444444444444445,0.16666666666666669,0.8333333333333333,0.023904382470119525
BJ20_03,天坛公园,交通与开放空间体验,0,39,3,1,274,0.14233576642335766,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.9487179487179487,0.0072992700729927005
BJ20_03,天坛公园,现场服务与导览体验,0,40,1,0,274,0.145985401459854,0.025,0.0,0.0125,0.9875,0.0018248175182481751
BJ20_03,天坛公园,票务预约与入园体验,0,120,31,54,274,0.43795620437956206,0.25833333333333336,0.45,0.3541666666666667,0.6458333333333333,0.1551094890510949
BJ20_03,天坛公园,整体满意与感知评价,1,75,21,11,274,0.2737226277372263,0.28,0.14666666666666667,0.21333333333333335,0.7866666666666666,0.05839416058394161
BJ20_04,景山公园,交通与开放空间体验,0,98,1,1,277,0.35379061371841153,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.9897959183673469,0.0036101083032490967
BJ20_04,景山公园,现场服务与导览体验,0,88,2,4,277,0.3176895306859206,0.022727272727272728,0.045454545454545456,0.03409090909090909,0.9659090909090909,0.010830324909747292
